mage,d,choce,annotator,annotaton_d,created_at,updated_at,lead_tme
f7e4708-0a1f-amera_olor_image_raw-1628023150151.jpg,2000,Corner,1,2000,2021-11-17T02:50:49.052538Z,2021-11-17T02:50:49.052582Z,1.094
f465573-0a4a-camera_color_image_raw-167047736093.jpg,1999,No corner,1,1999,01-11-17T0:50:46.703663Z,01-11-17T0:50:46.703707Z,0.749
9f0b55-0a6a-camera_color_image_raw-16704740164.jpg,1998,No corner,1,1998,01-11-17T0:50:44.638564Z,01-11-17T0:50:44.638608Z,0.96
df4e1-a7e-camera_color_image_raw-162751725728.jpg,1997,No corner,1,1997,221-11-17T2:5:42.481216Z,221-11-17T2:5:42.481263Z,2.155
cc65ea3-a17-camera_color_image_raw-162822196134.jpg,1996,No corner,1,1996,221-11-17T2:5:39.48472Z,221-11-17T2:5:39.48516Z,0.81
85dbe18-0a43-amera_olor_image_raw-1627051974882.jpg,1995,No orner,1,1995,2021-11-17T02:50:36.960550Z,2021-11-17T02:50:36.960595Z,1.076
9553f2e-0a48-camera_color_image_raw-128202989535.jpg,1994,Corner,1,1994,2021-11-17T02:50:34.559893Z,2021-11-17T02:50:34.559938Z,1.8
6156fc5-056-cmer_color_imge_rw-1628021826021.jpg,1993,No corner,1,1993,2021-11-17T02:50:31.695704Z,2021-11-17T02:50:31.695756Z,1.097
bb20a3-0a84-camra_color_imag_raw-1627047289744.jpg,1992,No cornr,1,1992,2021-11-17T02:50:29.370781Z,2021-11-17T02:50:29.370827Z,1.016
d178929-aa-camera_color_image_raw-162819868281.jpg,1991,Corner,1,1991,221-11-17T2:5:27.115155Z,221-11-17T2:5:27.11522Z,0.923
7df5b7f-0aab-camra_color_imag_raw-1627402884193.jpg,1990,No cornr,1,1990,2021-11-17T02:50:24.803822Z,2021-11-17T02:50:24.803870Z,6.198
0974e4-0a6-amera_olor_image_raw-1627399635529.jpg,1989,No orner,1,1989,2021-11-17T02:50:17.334881Z,2021-11-17T02:50:17.334923Z,1.195
3efe848-0ad9-camera_color_image_raw-127394890271.jpg,1988,Corner,1,1988,2021-11-17T02:50:14.812578Z,2021-11-17T02:50:14.81223Z,1.78
6f063a2-0afd-camera_color_image_raw-1628198830195.jpg,1987,Corner,1,1987,2021-11-17T02:50:11.802790Z,2021-11-17T02:50:11.80287Z,1.786
77ec7d7-0b2b-cmer_color_imge_rw-1627052176134.jpg,1986,No corner,1,1986,2021-11-17T02:50:08.805186Z,2021-11-17T02:50:08.805231Z,0.733
499baa2-0b7f-camera_color_image_raw-62704673209.jpg,985,No corner,,985,202--7T02:50:06.69095Z,202--7T02:50:06.690996Z,0.784
d6f89a6-0b9b-camera_color_image_raw-16240092049.jpg,1984,No corner,1,1984,2021-11-1T02:50:04.61428Z,2021-11-1T02:50:04.614354Z,0.651
7caa8d-0b80-camra_color_imag_raw-1627399674164.jpg,1983,No cornr,1,1983,2021-11-17T02:50:02.746491Z,2021-11-17T02:50:02.746535Z,0.674
90a3a8-0bb8-camera_color_image_raw-627047620080.jpg,982,No corner,,982,202--7T02:50:00.663068Z,202--7T02:50:00.66325Z,2.508
c004b7b-0bd-camera_color_image_raw-1627044001.jpg,191,No corner,1,191,2021-11-17T02:49:56.945629Z,2021-11-17T02:49:56.945677Z,0.14
de0450f-0c04-camera_color_image_raw-162049164031.jpg,1980,No corner,1,1980,2021-11-1T02:49:54.893098Z,2021-11-1T02:49:54.893150Z,0.94
ec1ad0-0c06-camera_color_image_raw-16270083080.jpg,1979,No corner,1,1979,2021-11-17T02:9:52.63187Z,2021-11-17T02:9:52.63232Z,1.306
b0dd503-0c7a-camera_color_image_raw-167051684078.jpg,1978,No corner,1,1978,01-11-17T0:49:50.001444Z,01-11-17T0:49:50.001490Z,0.807
